,0
79,"['185.27.99.2', '15/Oct/2021', '06:19:45', 'GET', '/clojure/clojure_vectors_conj.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13622', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
80,"['185.27.99.2', '15/Oct/2021', '06:19:50', 'GET', '/clojure/clojure_vectors_pop.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13603', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
81,"['185.27.99.2', '15/Oct/2021', '06:20:01', 'GET', '/clojure/clojure_vectors_subvec.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13600', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
82,"['185.27.99.2', '15/Oct/2021', '06:20:12', 'GET', '/clojure/clojure_maps_get.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13834', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
83,"['185.27.99.2', '15/Oct/2021', '06:20:24', 'GET', '/clojure/clojure_maps_vals.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13727', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
84,"['185.27.99.2', '15/Oct/2021', '06:20:35', 'GET', '/clojure/clojure_maps_dissoc.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13754', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
85,"['185.27.99.2', '15/Oct/2021', '06:20:45', 'GET', '/clojure/clojure_maps_merge.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13897', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
86,"['185.27.99.2', '15/Oct/2021', '06:20:55', 'GET', '/clojure/clojure_maps_selectkeys.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13834', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
87,"['185.27.99.2', '15/Oct/2021', '06:21:12', 'GET', '/clojure/clojure_mapinvert.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13841', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
88,"['185.27.99.2', '15/Oct/2021', '06:21:22', 'GET', '/clojure/clojure_namespace.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13663', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
89,"['185.27.99.2', '15/Oct/2021', '06:21:32', 'GET', '/clojure/clojure_alias.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13535', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
90,"['185.27.99.2', '15/Oct/2021', '06:21:48', 'GET', '/clojure/clojure_findns.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13536', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
91,"['185.27.99.2', '15/Oct/2021', '06:21:59', 'GET', '/clojure/clojure_nsname.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13561', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
92,"['185.27.99.2', '15/Oct/2021', '06:22:10', 'GET', '/clojure/clojure_nsaliases.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13542', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
93,"['185.27.99.2', '15/Oct/2021', '06:22:26', 'GET', '/clojure/clojure_sequences_cons.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13637', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
94,"['185.27.99.2', '15/Oct/2021', '06:22:44', 'GET', '/clojure/clojure_sequences_concat.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13651', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
95,"['185.27.99.2', '15/Oct/2021', '06:22:49', 'GET', '/clojure/clojure_sequences_distinct.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13611', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
96,"['185.27.99.2', '15/Oct/2021', '06:23:05', 'GET', '/clojure/clojure_sequences_first.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13575', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
97,"['185.27.99.2', '15/Oct/2021', '06:23:17', 'GET', '/clojure/clojure_sequences_last.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13578', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
98,"['185.27.99.2', '15/Oct/2021', '06:23:23', 'GET', '/clojure/clojure_sequences_rest.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13606', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
99,"['185.27.99.2', '15/Oct/2021', '06:23:34', 'GET', '/clojure/clojure_sequences_sort.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13614', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
100,"['185.27.99.2', '15/Oct/2021', '06:23:46', 'GET', '/clojure/clojure_sequences_takelast.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13711', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
101,"['185.27.99.2', '15/Oct/2021', '06:23:58', 'GET', '/clojure/clojure_sequences_splitat.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13694', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
102,"['185.27.99.2', '15/Oct/2021', '06:24:15', 'GET', '/clojure/clojure_regular_expressions_refind.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13732', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
103,"['185.27.99.2', '15/Oct/2021', '06:24:32', 'GET', '/clojure/clojure_predicates_everypred.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13651', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
104,"['185.27.99.2', '15/Oct/2021', '06:24:43', 'GET', '/clojure/clojure_predicates_some.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13635', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
105,"['185.27.99.2', '15/Oct/2021', '06:24:48', 'GET', '/clojure/clojure_atoms_reset.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13623', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
106,"['185.27.99.2', '15/Oct/2021', '06:24:58', 'GET', '/clojure/clojure_atoms_reset5ldf1y4w.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13717', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
107,"['185.27.99.2', '15/Oct/2021', '06:25:09', 'GET', '/clojure/clojure_atoms_swap.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13746', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
108,"['185.27.99.2', '15/Oct/2021', '06:25:20', 'GET', '/clojure/clojure_varymeta.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13747', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
109,"['185.27.99.2', '15/Oct/2021', '06:25:26', 'GET', '/clojure/clojure_struct.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13710', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
110,"['185.27.99.2', '15/Oct/2021', '06:25:37', 'GET', '/clojure/clojure_accessing_individual_fields.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13636', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
111,"['185.27.99.2', '15/Oct/2021', '06:25:53', 'GET', '/clojure/clojure_adding_key_to_structure.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13627', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
112,"['185.27.99.2', '15/Oct/2021', '06:25:58', 'GET', '/clojure/clojure_send.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14035', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
113,"['185.27.99.2', '15/Oct/2021', '06:26:08', 'GET', '/clojure/clojure_shutdownagents.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13669', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
114,"['185.27.99.2', '15/Oct/2021', '06:26:13', 'GET', '/clojure/clojure_awaitfor.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13855', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
115,"['185.27.99.2', '15/Oct/2021', '06:26:23', 'GET', '/clojure/clojure_ref.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13615', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
116,"['185.27.99.2', '15/Oct/2021', '06:26:35', 'GET', '/clojure/clojure_alter.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13803', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
117,"['185.27.99.2', '15/Oct/2021', '06:26:48', 'GET', '/clojure/clojure_refsetxchq1z4e.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13745', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
118,"['185.27.99.2', '15/Oct/2021', '06:26:53', 'GET', '/clojure/clojure_commute.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13702', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
119,"['185.27.99.2', '15/Oct/2021', '07:14:12', 'GET', '/typescript/typescript-modules.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '24592', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
120,"['20.112.122.1', '15/Oct/2021', '07:29:12', 'GET', ""/architectroad/architectroad-yuc52cxo.html?fcode=abox_workview1'A=0"", 'HTTP/1.1', '200', '20209', 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0']"
121,"['20.112.122.1', '15/Oct/2021', '07:32:15', 'GET', ""/architectroad/architectroad-yuc52cxo.html?fcode=abox_workview1'"", 'HTTP/1.1', '200', '20209', 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0']"
122,"['106.11.157.2', '15/Oct/2021', '08:52:34', 'GET', '/xuexiw3c/w3c-css.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14773', 'Mozilla/5.0 (iPhone; U; CPU iPhone OS 10_3_1 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8A293 Safari/6531.22.7']"
123,"['106.11.154.6', '15/Oct/2021', '08:56:59', 'GET', '/awk/8xet1k8a.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13863', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
124,"['185.27.99.2', '15/Oct/2021', '09:12:55', 'GET', '/regex_rmjc/regex_rmjc-n5a328cn.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14468', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
125,"['185.27.99.2', '15/Oct/2021', '09:13:00', 'GET', '/regex_rmjc/regex_rmjc-gthv28co.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14434', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
126,"['185.27.99.2', '15/Oct/2021', '09:13:18', 'GET', '/regex_rmjc/regex_rmjc-9tkb28cr.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13063', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
127,"['185.27.99.2', '15/Oct/2021', '09:13:30', 'GET', '/regex_rmjc/regex_rmjc-w3un28cu.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13615', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
128,"['185.27.99.2', '15/Oct/2021', '09:13:36', 'GET', '/regex_rmjc/regex_rmjc-rfkd28d1.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13687', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
129,"['185.27.99.2', '15/Oct/2021', '09:13:47', 'GET', '/regex_rmjc/regex_rmjc-cweo28d2.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14103', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
130,"['185.27.99.2', '15/Oct/2021', '09:13:58', 'GET', '/regex_rmjc/regex_rmjc-1eqn28d3.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13301', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
131,"['185.27.99.2', '15/Oct/2021', '09:14:04', 'GET', '/regex_rmjc/regex_rmjc-a1s328d4.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '13693', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
132,"['185.27.99.2', '15/Oct/2021', '09:14:20', 'GET', '/regex_rmjc/regex_rmjc-g5lu28d7.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14030', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
133,"['106.84.167.2', '15/Oct/2021', '09:32:54', 'GET', '/vue_elementplus/vue_elementplus-uxhd3kqh.html?fcode=abox_workview1', 'HTTP/1.1', '200', '18259', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36 Edg/94.0.992.47']"
134,"['120.234.194.5', '15/Oct/2021', '09:39:19', 'GET', '/front_end_handbook_2017/front_end_handbook_2017-fvto26d2.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '18455', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
135,"['181.199.58.1', '15/Oct/2021', '09:44:27', 'GET', ""/slickguide/pxtg1jcj.html?fcode=abox_workview1&vipPopup=1&appfunction=vip'"", 'HTTP/1.1', '200', '19741', 'Mozilla/5.0 (Windows NT 10.0; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0']"
136,"['106.11.156.1', '15/Oct/2021', '10:07:08', 'GET', '/fortran/fortran_basic_input_output.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14859', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
137,"['180.158.51.2', '15/Oct/2021', '10:21:07', 'GET', '/unity3d_jc/unity3d_jc-6jet38c2.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '17818', 'Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0']"
138,"['113.57.165.2', '15/Oct/2021', '10:21:52', 'GET', '/vue_elementplus/vue_elementplus-6qxn3kqw.html?fcode=abox_workview1', 'HTTP/1.1', '200', '18197', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36']"
139,"['113.68.54.2', '15/Oct/2021', '10:22:12', 'GET', '/echarts_tutorial/echarts_tutorial-qvf92eop.html?fcode=abox_workview1', 'HTTP/1.1', '200', '30289', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
140,"['61.140.204.1', '15/Oct/2021', '10:25:44', 'GET', '/linuxc/linuxc-no2y3l74.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '16232', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36']"
141,"['183.230.155.8', '15/Oct/2021', '10:27:07', 'GET', '/prd_writing/ui2n9ozt.html?fcode=abox_workview1', 'HTTP/1.1', '200', '14551', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36 Edg/94.0.992.47']"
142,"['106.125.148.7', '15/Oct/2021', '10:40:17', 'GET', '/ecmascript/vis51q5w.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '36509', 'Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Mobile Safari/537.36']"
143,"['106.11.156.8', '15/Oct/2021', '11:12:56', 'GET', '/assembly/assembly-coprocessor.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '16698', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
144,"['222.212.131.1', '15/Oct/2021', '11:21:31', 'GET', '/xmind/s41n1qmi.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '16407', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36']"
145,"['171.212.254.1', '15/Oct/2021', '11:23:44', 'GET', '/vue_elementplus/vue_elementplus-trqk3kr6.html?fcode=abox_workview1', 'HTTP/1.1', '200', '17592', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36']"
146,"['106.11.154.2', '15/Oct/2021', '11:29:29', 'GET', '/fortran/fortran_basic_input_output.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '14859', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
147,"['106.11.156.7', '15/Oct/2021', '11:29:32', 'GET', '/doc_python_3_5/python_3_5-library-zipapp.html?appfunction=vip&fcode=abox_workview1&vipPopup=1', 'HTTP/1.1', '200', '128557', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1']"
148,"['162.55.33.1', '15/Oct/2021', '12:05:20', 'GET', '/taro_v3/taro-basic.html?fcode=abox_workview1', 'HTTP/1.1', '200', '22799', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36']"
149,"['42.233.35.1', '15/Oct/2021', '12:08:38', 'GET', '/apache_pig/apache_pig_reading_data.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '17632', 'Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.25 Safari/537.36 Core/1.70.3877.400 QQBrowser/10.8.4506.400']"
150,"['180.169.152.1', '15/Oct/2021', '12:11:04', 'GET', '/docker/docker-container-connection.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '14576', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36 Edg/94.0.992.47']"
151,"['115.60.57.1', '15/Oct/2021', '12:11:35', 'GET', '/vue_elementplus/ElementPlusSelect.html?fcode=abox_workview1', 'HTTP/1.1', '200', '20010', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36 Edg/94.0.992.47']"
152,"['42.233.35.1', '15/Oct/2021', '12:17:58', 'GET', '/apache_pig/apache_pig_reading_data.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '17632', 'Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.25 Safari/537.36 Core/1.70.3877.400 QQBrowser/10.8.4506.400']"
153,"['42.233.35.1', '15/Oct/2021', '12:18:00', 'GET', '/apache_pig/apache_pig_reading_data.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '17632', 'Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.25 Safari/537.36 Core/1.70.3877.400 QQBrowser/10.8.4506.400']"
154,"['42.233.35.1', '15/Oct/2021', '12:18:29', 'GET', '/apache_pig/apache_pig_reading_data.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '17632', 'Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.25 Safari/537.36 Core/1.70.3877.400 QQBrowser/10.8.4506.400']"
155,"['42.233.35.1', '15/Oct/2021', '12:18:33', 'GET', '/apache_pig/apache_pig_reading_data.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '17632', 'Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.25 Safari/537.36 Core/1.70.3877.400 QQBrowser/10.8.4506.400']"
156,"['116.9.31.1', '15/Oct/2021', '12:31:34', 'GET', '/linux/linux-shell-echo.html?fcode=abox_workview1&vipPopup=1&appfunction=vip', 'HTTP/1.1', '200', '14695', 'Mozilla/5.0 (Linux; Android 5.0; SM-G900P Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Mobile Safari/537.36']"
